bus_name,base_kv,vm_a_pu,va_a_deg,vm_b_pu,va_b_deg,vm_c_pu,va_c_deg
121,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
122,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
123,0.416,1.0428,-29.5,1.0119,-150.2,1.0529,89.4
124,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
125,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
126,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
127,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
128,0.416,1.0426,-29.5,1.0113,-150.2,1.053,89.4
129,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
130,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
131,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
132,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
133,0.416,1.0435,-29.5,1.0139,-150.2,1.0524,89.4
134,0.416,1.0426,-29.5,1.0111,-150.2,1.0531,89.4
135,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
136,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
137,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
138,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
139,0.416,1.0435,-29.5,1.0139,-150.2,1.0524,89.4
140,0.416,1.0425,-29.5,1.0109,-150.2,1.0531,89.4
141,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
142,0.416,1.0441,-29.6,1.0175,-150.2,1.0517,89.5
143,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
144,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
145,0.416,1.0435,-29.5,1.0138,-150.2,1.0524,89.4
146,0.416,1.0424,-29.4,1.0107,-150.2,1.0532,89.4
147,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
148,0.416,1.0442,-29.6,1.0175,-150.2,1.0516,89.5
149,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
150,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
151,0.416,1.0435,-29.5,1.0138,-150.2,1.0524,89.4
152,0.416,1.0435,-29.5,1.0133,-150.2,1.0524,89.4
153,0.416,1.0424,-29.4,1.0104,-150.2,1.0532,89.4
154,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
155,0.416,1.0442,-29.6,1.0175,-150.2,1.0516,89.5
156,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
157,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
158,0.416,1.0435,-29.5,1.0138,-150.2,1.0524,89.4
159,0.416,1.0435,-29.5,1.0133,-150.2,1.0524,89.4
160,0.416,1.0424,-29.4,1.0104,-150.2,1.0532,89.4
161,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
162,0.416,1.0442,-29.6,1.0175,-150.2,1.0516,89.5
163,0.416,1.0442,-29.6,1.0175,-150.2,1.0515,89.5
164,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
165,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
166,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
167,0.416,1.0435,-29.5,1.0133,-150.2,1.0524,89.4
168,0.416,1.0422,-29.4,1.01,-150.2,1.0533,89.4
169,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
170,0.416,1.0442,-29.6,1.0175,-150.2,1.0516,89.5
171,0.416,1.0442,-29.6,1.0174,-150.2,1.0515,89.5
172,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
173,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
174,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
175,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
176,0.416,1.0435,-29.5,1.0133,-150.2,1.0524,89.4
177,0.416,1.0422,-29.4,1.0098,-150.2,1.0534,89.4
178,0.416,1.0442,-29.6,1.0175,-150.2,1.0516,89.5
179,0.416,1.0442,-29.6,1.0174,-150.2,1.0515,89.5
180,0.416,1.0442,-29.6,1.0174,-150.2,1.0513,89.5
181,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
182,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
183,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
184,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
185,0.416,1.0435,-29.5,1.0132,-150.2,1.0524,89.4
186,0.416,1.0421,-29.4,1.0096,-150.2,1.0534,89.4
187,0.416,1.0442,-29.6,1.0174,-150.2,1.0515,89.5
188,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
189,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
190,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
191,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
192,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
193,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
194,0.416,1.0435,-29.5,1.0132,-150.2,1.0524,89.4
195,0.416,1.0421,-29.4,1.0095,-150.2,1.0534,89.4
196,0.416,1.0442,-29.6,1.0173,-150.2,1.0515,89.5
197,0.416,1.0442,-29.6,1.0174,-150.2,1.0506,89.5
198,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
199,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
200,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
201,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
202,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
203,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
204,0.416,1.0435,-29.5,1.0132,-150.2,1.0524,89.4
205,0.416,1.042,-29.4,1.0093,-150.2,1.0535,89.4
206,0.416,1.0442,-29.6,1.0173,-150.2,1.0515,89.5
207,0.416,1.0442,-29.6,1.0173,-150.2,1.0515,89.5
208,0.416,1.0442,-29.6,1.0174,-150.2,1.0503,89.5
209,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
210,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
211,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
212,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
213,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
214,0.416,1.0435,-29.5,1.0131,-150.2,1.0524,89.4
215,0.416,1.0419,-29.4,1.009,-150.2,1.0536,89.4
216,0.416,1.0442,-29.6,1.0173,-150.2,1.0515,89.5
217,0.416,1.0442,-29.6,1.0172,-150.2,1.0515,89.5
218,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
219,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
220,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
221,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
222,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
223,0.416,1.0435,-29.5,1.0131,-150.2,1.0524,89.4
224,0.416,1.0419,-29.4,1.0087,-150.2,1.0536,89.4
225,0.416,1.0442,-29.6,1.0173,-150.2,1.0515,89.5
226,0.416,1.0443,-29.6,1.0172,-150.2,1.0515,89.5
227,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
228,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
229,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
230,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
231,0.416,1.0435,-29.5,1.0131,-150.2,1.0524,89.4
232,0.416,1.0418,-29.4,1.0085,-150.2,1.0537,89.4
233,0.416,1.0443,-29.6,1.0165,-150.2,1.0515,89.5
234,0.416,1.0443,-29.6,1.0172,-150.2,1.0515,89.5
235,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
236,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
237,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
238,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
239,0.416,1.0435,-29.5,1.013,-150.2,1.0524,89.4
240,0.416,1.0418,-29.4,1.0083,-150.2,1.0537,89.4
241,0.416,1.0443,-29.6,1.0164,-150.2,1.0515,89.5
242,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
243,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
244,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
245,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
246,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
247,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
248,0.416,1.0443,-29.6,1.0161,-150.2,1.0515,89.5
249,0.416,1.0443,-29.6,1.0164,-150.2,1.0515,89.5
250,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
251,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
252,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
253,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
254,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
255,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
256,0.416,1.0416,-29.4,1.0079,-150.2,1.0538,89.3
257,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
258,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
259,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
260,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
261,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
262,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
263,0.416,1.0414,-29.4,1.0072,-150.2,1.054,89.3
264,0.416,1.0442,-29.6,1.0174,-150.2,1.0507,89.5
265,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
266,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
267,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
268,0.416,1.0435,-29.5,1.0126,-150.2,1.0524,89.4
269,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
270,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
271,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
272,0.416,1.0414,-29.4,1.007,-150.2,1.054,89.3
273,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
274,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
275,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
276,0.416,1.0435,-29.5,1.0125,-150.2,1.0524,89.4
277,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
278,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
279,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
280,0.416,1.0411,-29.3,1.0061,-150.2,1.0542,89.3
281,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
282,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
283,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
284,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
285,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
286,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
287,0.416,1.0409,-29.3,1.006,-150.2,1.0543,89.3
288,0.416,1.0412,-29.3,1.006,-150.2,1.0542,89.3
289,0.416,1.0434,-29.5,1.014,-150.2,1.0524,89.4
290,0.416,1.0435,-29.5,1.0138,-150.2,1.0523,89.4
291,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
292,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
293,0.416,1.0435,-29.5,1.0128,-150.2,1.0524,89.4
294,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
295,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
296,0.416,1.0407,-29.3,1.0059,-150.2,1.0544,89.3
297,0.416,1.0413,-29.3,1.0053,-150.2,1.0543,89.3
298,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
299,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
300,0.416,1.0435,-29.5,1.0127,-150.2,1.0524,89.4
301,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
302,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
303,0.416,1.0399,-29.3,1.0055,-150.3,1.0547,89.3
304,0.416,1.0413,-29.3,1.0052,-150.2,1.0543,89.3
305,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
306,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
307,0.416,1.0435,-29.5,1.0127,-150.2,1.0524,89.4
308,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
309,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
310,0.416,1.0399,-29.3,1.0055,-150.3,1.0547,89.3
311,0.416,1.0413,-29.3,1.0052,-150.2,1.0543,89.3
312,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
313,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
314,0.416,1.0435,-29.5,1.0125,-150.2,1.0524,89.4
315,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
316,0.416,1.0414,-29.4,1.0072,-150.2,1.0539,89.3
317,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
318,0.416,1.0387,-29.3,1.0049,-150.3,1.0552,89.3
319,0.416,1.0414,-29.3,1.0051,-150.2,1.0543,89.3
320,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
321,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
322,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
323,0.416,1.0415,-29.4,1.0072,-150.2,1.0539,89.3
324,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
325,0.416,1.0382,-29.3,1.0046,-150.3,1.0554,89.3
326,0.416,1.0414,-29.3,1.0051,-150.2,1.0543,89.3
327,0.416,1.0435,-29.5,1.0138,-150.2,1.0522,89.4
328,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
329,0.416,1.0415,-29.4,1.0072,-150.2,1.0539,89.3
330,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
331,0.416,1.0382,-29.3,1.0046,-150.3,1.0553,89.3
332,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
333,0.416,1.0414,-29.3,1.0051,-150.2,1.0543,89.3
334,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
335,0.416,1.0415,-29.4,1.0072,-150.2,1.0539,89.3
336,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
337,0.416,1.0382,-29.3,1.0046,-150.3,1.0553,89.3
338,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
339,0.416,1.037,-29.2,1.0039,-150.3,1.0559,89.3
340,0.416,1.0414,-29.3,1.0051,-150.2,1.0543,89.3
341,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
342,0.416,1.0415,-29.4,1.0072,-150.2,1.0538,89.3
343,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
344,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
345,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
346,0.416,1.0368,-29.2,1.0038,-150.3,1.056,89.3
347,0.416,1.0414,-29.3,1.005,-150.2,1.0543,89.3
348,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
349,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
350,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
351,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
352,0.416,1.0367,-29.2,1.0038,-150.3,1.0561,89.3
353,0.416,1.0414,-29.3,1.005,-150.2,1.0543,89.3
354,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
355,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
356,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
357,0.416,1.0365,-29.2,1.0037,-150.3,1.0561,89.3
358,0.416,1.0414,-29.3,1.005,-150.2,1.0543,89.3
359,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
360,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
361,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
362,0.416,1.0364,-29.2,1.0037,-150.3,1.0562,89.3
363,0.416,1.0414,-29.3,1.005,-150.2,1.0543,89.3
364,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
365,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
366,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
367,0.416,1.0363,-29.2,1.0036,-150.3,1.0562,89.3
368,0.416,1.0414,-29.3,1.005,-150.2,1.0543,89.3
369,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
370,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
371,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
372,0.416,1.0362,-29.2,1.0035,-150.3,1.0563,89.3
373,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
374,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
375,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
376,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
377,0.416,1.036,-29.2,1.0034,-150.3,1.0564,89.3
378,0.416,1.0415,-29.3,1.0043,-150.2,1.0544,89.3
379,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
380,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
381,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
382,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
383,0.416,1.0359,-29.2,1.0034,-150.3,1.0564,89.4
384,0.416,1.0416,-29.3,1.0037,-150.2,1.0544,89.3
385,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
386,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
387,0.416,1.0417,-29.4,1.0081,-150.2,1.0538,89.3
388,0.416,1.0398,-29.3,1.0055,-150.3,1.0547,89.3
389,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
390,0.416,1.0358,-29.2,1.0033,-150.4,1.0565,89.4
391,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
392,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
393,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
394,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
395,0.416,1.0356,-29.2,1.0032,-150.4,1.0565,89.4
396,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
397,0.416,1.0418,-29.3,1.0032,-150.2,1.0545,89.3
398,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
399,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
400,0.416,1.0371,-29.2,1.004,-150.3,1.0559,89.3
